Stocked-SKU reorder report — company 99, 91 SKUs, 12 to order now
Busy-month policy: busy_month = peak rolling-30-day shipped qty (trailing 365d), capped at 1 month(s) of avg demand (SOLD_1YR/12) to damp one-off spikes; safety = capped busy_month; reorder = +daily_demand×lead_time (assumes 10d, 7–14d window); order-up-to = 2×capped; ORDER NOW when on_hand+on_po−backorder ≤ reorder; PAD items (prodcode 18) sized to days-of-supply instead (safety 7d / reorder 12d / up-to 14d of avg demand — big footprint, weekly truck); recs rounded up to BOX multiples
=========================================================================================================================================================================================================================================
SEQUENCE       VENDOR    ON_HAND    UNASN    ON_PO  INV_POS  SOLD_1YR  BUSY_MO   BOX  SAF_CUR  SAF_REC  ROP_REC     UPTO  QTY_REC  ORDER STYLE                                                             COLOR                         
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0000000684626  ALLSURF   2837.00  2786.33  2100.00  2150.67  41874.50  5313.76     1   900.00  3490.00  4637.00  6980.00  4830.00    YES GLACIER ANTIMICROBIAL 1/2 30 SY                                   30 SY                         
0000000684623  ALLSURF   1545.00  1953.33  1350.00   941.67  19502.65  2981.99     1   900.00  1626.00  2160.00  3251.00  2310.00    YES EMERALD 7/16 30 SY                                                30 SY                         
0000000505980  SHAW      2169.44     0.00     0.00  2169.44  24332.84 17355.52    42  2000.00  2044.28  2711.80  4088.56  1919.12    YES SYMBIOTIC 12                                                      PLATEAU                       
0000000464376  LEGGETT     51.00   177.67     0.00  -126.67   9149.23  1816.97     1   600.00   176.00   301.00   351.00   478.00    YES BLACK DIAMOND 7/16" 6LB PAD                                       7/16" 6LB                     
0000000684642  ALLSURF    300.00   121.00     0.00   179.00   4850.65  1152.33     1   200.00   405.00   538.00   809.00   630.00    YES MILLENIA 28 OZ 6FT 40 SY                                          40 SY                         
0000000339202  FIRSTGRA   320.00     0.00     0.00   320.00   4401.00  2061.00     1   100.00   367.00   488.00   734.00   414.00    YES BASE SHOE PINE UNFINISHED - FIRST GRADE HARDWOOD                  PINE PER LF                   
0000000706426  DALTILE      0.00     0.00     0.00     0.00    811.76   477.36    18     1.00    70.40   105.60   140.80   140.80    YES ARTICULO RECTANGLE 12X24 MT                                       FEATURE BEIGE MATTE           
0000000643533  DALTILE      0.00     0.00     0.00     0.00    105.60   105.60    18     1.00    17.60    17.60    17.60    17.60    YES ARTICULO RECTANGLE 12X24 MT                                       COLUMN GREY MATTE             
0000000518899  EJWELCH      0.00     0.00     0.00     0.00     50.00    11.50     1    10.00     5.00     6.00     9.00     9.00    YES FUTURA SILVER 1-1/2" FLAT METAL 12'                               SILVER                        
0000000518946  EJWELCH      0.00     0.00     0.00     0.00      7.50     3.00     1    10.00     1.00     1.00     2.00     2.00    YES FUTURA SILVER 3/4" PREMIUM GRIPPER METAL 12'                      SILVER                        
0000000709785  DALTILE      0.00     0.00     0.00     0.00      0.00     0.00    18     1.00     0.00     0.00     0.00     0.00    YES ARTICULO RECTANGLE 12X24 MT                                       STORY BROWN MATTE             
0000000709786  DALTILE      0.00     0.00     0.00     0.00      0.00     0.00    18     1.00     0.00     0.00     0.00     0.00    YES ARTICULO RECTANGLE 12X24 MT                                       HEADLINE GREY MATTE           
0000001246174  ALLSURF      4.00     0.00     0.00     4.00     16.00     8.00     1    10.00     2.00     2.00     3.00     0.00        M-D PRO STAIR NOSING 1 5/8 IN 12 FT PBK                           MATTE BLACK                   
0000000452400  SONIC        4.00     0.00     0.00     4.00      3.00     1.00     1     1.00     1.00     1.00     1.00     0.00        SONICLEAN SOFT CARPET VACUUM                                      NA                            
0000000684462  ALLSURF    121.00    55.00    21.00    87.00    733.00   298.00     1    10.00    62.00    82.00   123.00    36.00        MAPEI KERAFLEX PLUS MORTAR 44 LBS                                 GRAY                          
0000001238853  ALLSURF      8.50     0.00     0.00     8.50      1.50     1.50     1    10.00     1.00     1.00     1.00     0.00        M-D PRO STAIR NOSING 12 FT 1 5/8 IN X 1 1/8 IN HTI                HAMMERED TITANIUM             
0000000283815  EJWELCH     12.00     0.00     0.00    12.00     22.50     4.50     1    10.00     2.00     3.00     4.00     0.00        BURKE - MERCER T-CAP                                              CLAY                          
0000001082268  DALTILE     10.00     0.00     0.00    10.00      5.00     2.00     1     1.00     1.00     1.00     1.00     0.00        CFI TILE & GROUT CAULK SANDED MAPEI 10.3 OZ                       9999630959 FROST CA-M-77-10S  
0000001084221  DALTILE     12.00     0.00     0.00    12.00     13.00     7.00     1    10.00     2.00     2.00     3.00     0.00        MAP ULTRACOLOR PLUS FA 25 LB                                      9999636269 ALABASTER 6BU000111
0000000402536  KARNDEAN    13.00     0.00     0.00    13.00      7.00     3.00     1     1.00     1.00     1.00     2.00     0.00        CLEANING CLEANER 750ML                                            CL, ROUTINE CLEANER 750ML     
0000001246187  ALLSURF     18.00     0.00     0.00    18.00     22.00    21.00     1    10.00     2.00     3.00     4.00     0.00        M-D PRO TAP DOWN W/PINS 3/4 IN 12 FT HGA                          HAMMERED GOLD ANODIZED        
0000001082232  DALTILE     18.00     0.00     0.00    18.00      0.00     0.00     1     1.00     0.00     0.00     0.00     0.00        CFI TILE & GROUT CAULK SANDED MAPEI 10.3 OZ                       9999621476 ALABASTER CA-M-01-1
0000000664445  FLORSTAR    22.00     0.00     0.00    22.00      9.00     4.00     1     1.00     1.00     1.00     2.00     0.00        S-338 ONCE N DONE CONCENTRATE                                     QUARTS GREEN LABEL  00338124  
0000001251859  ALLSURF     24.50     0.00     0.00    24.50     14.00     6.50     1     1.00     2.00     2.00     3.00     0.00        SCHLUTER SCHIENE EDGE TRIM 1/8 AE                                 SATIN ALUMINUM                
0000001084193  DALTILE     26.00     0.00     0.00    26.00     13.00     4.00     1    10.00     2.00     2.00     3.00     0.00        MAP ULTRACOLOR PLUS FA 25 LB                                      9999636289 FROST 6BU007711    
0000001246473  SHAW        33.00     0.00     0.00    33.00     47.00    15.00     1     5.00     4.00     6.00     8.00     0.00        6 MIL POLY JUMBO                                                  400 SF ROLL                   
0000001227298  VIRGINIA    40.00     1.00     0.00    39.00     88.00    49.00     1     1.00     8.00    10.00    15.00     0.00        DUROCK 3 FT X 5 FT X 1/2 INCH                                     XXX                           
0000000684465  ALLSURF     59.00    20.00     6.00    45.00    131.00    19.00     1    10.00    11.00    15.00    22.00     0.00        MAPEI KERAFLEX SG MORTAR 44 LBS                                   GRAY                          
0000001130226  FIRSTGRA    52.00     0.00     0.00    52.00    191.00    77.00     1    10.00    16.00    22.00    32.00     0.00        BASE SHOE - 7/16" X 3/4" SQUARE PRIMED WHITE                      PER 16' LENGTH                
0000001246472  SHAW        40.00     0.00     0.00    40.00     56.00    14.00     1    10.00     5.00     7.00    10.00     0.00        6 MIL BLACK POLY                                                  100 SF ROLL                   
0000000456758  TANDUS      38.50     0.00     0.00    38.50     42.00    19.00     1     1.00     4.00     5.00     7.00     0.00        METAL EDGE UN - LVT TO MODULAR                                    IRONSTONE - 178               
0000000338808  DALTILE     37.74     0.00     0.00    37.74     36.72    18.36     1     1.00     3.06     4.08     6.12     0.00        ARTICULO STRAIGHT JOINT 1X3 DM 12X12 MT                           EDITORIAL WHITE MATTE         
0000000835392  CHICAGOH    68.00    12.00     0.00    56.00    155.00    53.00     1    10.00    13.00    18.00    26.00     0.00        BONA QUANTUM R851 WOOD FLOOR ADHESIVE - CHW                       3 GAL                         
0000000846812  DALTILE     52.00     0.00     0.00    52.00    101.00    29.00     1    10.00     9.00    12.00    17.00     0.00        MAP ULTRAFLEX 2 50 LB                                             WHITE 60057                   
0000000722354  FIRSTGRA    47.00     0.00     0.00    47.00     52.00    10.00     1    10.00     5.00     6.00     9.00     0.00        BONA PREMIUM SPRAY MOP KIT                                        HARD SURFACE                  
0000001246189  ALLSURF     57.50     1.50     0.00    56.00    131.50    28.00     1    10.00    11.00    15.00    22.00     0.00        M-D PRO TAP DOWN W/PINS 3/4 IN 12 FT HTI                          HAMMERED TITANIUM             
0000001245954  ALLSURF     47.50     0.00     3.00    50.50     11.50     7.00     1    10.00     1.00     2.00     2.00     0.00        M-D PRO FLAT BAR 1 1/2 IN 12 FT PBK                               MATTE BLACK                   
0000001246089  ALLSURF     53.00     0.00     0.00    53.00     30.50    10.50     1    10.00     3.00     4.00     6.00     0.00        M-D PRO METAL TRACK W/TEETH SINGLE FLANGE 12 FT MIL               MILL FINISH                   
0000000249614  PROCYON     54.00     0.00     0.00    54.00     21.00     6.00     1    25.00     2.00     3.00     4.00     0.00        PROCYON CARPET CLEANER LIFETIME                                   CCF BOTTLE                    
0000001238840  ALLSURF     59.00     0.00     0.00    59.00     44.50    17.00     1    10.00     4.00     5.00     8.00     0.00        M-D PRO JOINER BAR 1 1/2 IN 12 FT HTI                             HAMMERED TITANIUM             
0000001238839  ALLSURF     57.50     0.00     0.00    57.50     18.50     7.50     1    10.00     2.00     3.00     4.00     0.00        M-D PRO JOINER BAR 1 1/2 IN 12 FT HSI                             HAMMERED SILVER               
0000000232689  LEGGETT     80.24     0.00     0.00    80.24    459.98   125.66     1    80.00     9.00    16.00    18.00     0.00        FIRM GRIP - AREA RUG PAD                                          GRAY                          
0000001238835  ALLSURF     69.50     0.00     0.00    69.50     13.00     6.00     1     1.00     2.00     2.00     3.00     0.00        M-D PRO DLX TAP DOWN W/PINS 12 FT PBK                             MATTE BLACK                   
0000000683267  ALLSURF     98.00     4.00     0.00    94.00    223.50    49.00     1    20.00    19.00    25.00    38.00     0.00        MAPEI ULTRABOND ECO 373 RESILIENT ADHESIVE 4 GALLON               ADHESIVE                      
0000000724380  FLORSTAR   156.00     0.00     0.00   156.00    680.00   152.00     1     1.00    57.00    76.00   114.00     0.00        CARPET TO TILE ADAPTOR 1/4 5/16 TO 1/8 12FT VINYL                 PEBBLE 440092022              
0000000683259  ALLSURF    118.00     6.00     0.00   112.00    128.00    44.00     1     1.00    11.00    15.00    22.00     0.00        MAPEI ULTRABOND ECO 20 STANARD FLOORING ADHESIVE 4 GALLON         ADHESIVE                      
0000001235870  DREAM      646.00     0.00     0.00   646.00   4924.30  1166.00     1     1.00   411.00   546.00   821.00   175.00        GOLD STANDARD III                                                 GLITTER 1.000                 
0000001165265  INTERFAC   191.36     0.00     0.00   191.36    657.80   209.30     6     1.00    59.80    77.74   113.62     0.00        OPEN AIR NEUTRALS                                                 LINEN                         
0000000279232  FIRSTGRA   343.00    24.00     0.00   319.00   1845.00   416.00     1   100.00   154.00   205.00   308.00     0.00        BASE SHOE MAPLE - FIRST GRADE HARDWOOD                            MAPLE PER LF                  
0000000395390  VIRGINIA   120.00     0.00     0.00   120.00      8.00     8.00     1     1.00     1.00     1.00     2.00     0.00        DUROCK 3 FT X 5 FT X 1/4 INCH                                     XXX                           
0000000338832  DALTILE    135.00     0.00     0.00   135.00     78.75    67.50    11     1.00    11.25    11.25    22.50     0.00        ARTICULO RECTANGLE 6X18 MT                                        EDITORIAL WHITE MATTE         
0000000223338  SHAW       179.50     0.00     0.00   179.50    471.87   106.00     1   100.00    40.00    53.00    79.00     0.00        FRANCHISE II 26                                                   WOODLAND                      
0000001172496  SHAW       176.50     0.00     0.00   176.50    410.99   148.67     1    75.00    35.00    46.00    69.00     0.00        RETREAT                                                           WATERFALL                     
0000000729896  FLORSTAR   445.00   102.00     0.00   343.00   1905.00   256.00     1    40.00   159.00   211.00   318.00     0.00        ARDEX FEATHER FINISH UNDERLAYMENT                                 GRAY 10LB                     
0000000247143  PROCYON    189.00     2.00     0.00   187.00    347.00    47.00     1    25.00    29.00    39.00    58.00     0.00        PROCYON CARPET CLEANER                                            CCF BOTTLE                    
0000000427091  SHAW       382.58     0.00     0.00   382.58   1996.97   476.99     1   150.00   167.00   222.00   333.00     0.00        VINTAGE WEAVE                                                     YORKSHIRE                     
0000000424149  DALTILE    193.39     0.00     0.00   193.39    266.43    66.40     1     1.00    22.41    29.88    44.82     0.00        FLORENTINE BRICK JOINT 2X4 DM 12X12 MT                            CARRARA MATTE                 
0000000683266  ALLSURF    221.00     7.00     0.00   214.00    360.00    58.00     1    30.00    30.00    40.00    60.00     0.00        MAPEI ULTRABOND ECO 373 RESILIENT ADHESIVE 1 GALLON               ADHESIVE                      
0000000257886  SHAW       265.59     0.00     0.00   265.59    635.60   191.25     1   150.00    53.00    71.00   106.00     0.00        ON SITE                                                           RIGHT ON                      
0000000522307  DALTILE    212.52     0.00     0.00   212.52     49.28    30.03     1     1.00     4.62     6.16     8.47     0.00        VERTUO CHEVRON 2X5 MM 12X12 MT                                    COMPOSER MATTE                
0000000724356  FLORSTAR   210.00     0.00     0.00   210.00      0.00     0.00     1   120.00     0.00     0.00     0.00     0.00        CARPET TO CARPET TRANSITION 1 1/2-1/4 5/16 TO 1/4 5/16 12FT VINYL BROWN 440083030               
0000000724353  FLORSTAR   216.00     0.00     0.00   216.00     30.00    12.00     1   120.00     3.00     4.00     5.00     0.00        CARPET TO CARPET TRANSITION 1 1/2-1/4 5/16 TO 1/4 5/16 12FT VINYL BLACK 440083025               
0000001235875  DREAM      371.59     0.00     0.00   371.59   1376.33  1356.00     1     1.00   115.00   153.00   230.00     0.00        MONTE CARLO I                                                     ANTIQUE FRESCO 1.000          
0000000676616  DALTILE    281.60     0.00     0.00   281.60    457.60   140.80    18     1.00    52.80    52.80    88.00     0.00        ARTICULO RECTANGLE 12X24 MT                                       EDITORIAL WHITE MATTE         
0000000684254  ALLSURF    240.00     0.00     0.00   240.00      0.00     0.00    12     1.00     0.00     0.00     0.00     0.00        ROPPE VINYL 156 GLUE DOWN REDUCER 5/16 X 12 FT                    FAWN                          
0000000244018  SHAW       310.16     0.00     0.00   310.16    437.00   160.00     1   100.00    37.00    49.00    73.00     0.00        LIVE                                                              JOY                           
0000000596075  SHAW       297.83     0.00     0.00   297.83    280.44   101.00     1    75.00    24.00    32.00    47.00     0.00        ONE MORE HOUR                                                     LINEN                         
0000000402829  KARNDEAN   684.00     0.00     0.00   684.00   3329.84  1512.00    36  2000.00   288.00   396.00   576.00     0.00        KNIGHT TILE (36"X6")                                              MID LIMED OAK                 
0000001221529  J&J        571.00     0.00     0.00   571.00   2392.60   438.33     1     1.00   200.00   265.00   399.00     0.00        LIMELIGHT - PRIVATE LABEL - SPECIAL PURCHASE                      CUE                           
0000001133148  MOHAWK     307.50     0.00     0.00   307.50      0.00     0.00     1   100.00     0.00     0.00     0.00     0.00        ROLL WITH IT - ABAC - WELDLOK - 12FT 00IN                         FOSSIL                        
0000000684588  ALLSURF    489.00    29.00     0.00   460.00   1307.00   522.00     1    50.00   109.00   145.00   218.00     0.00        TRAXX CERTIPLY UNDERLAYMENT 1/4 IN X 4 X 4                        UNDERLAYMENT                  
0000001252478  DREAM      388.50     0.00     0.00   388.50    546.34   250.00     1     1.00    46.00    61.00    92.00     0.00        HOLLYWOOD                                                         ICEBERG 1.000                 
0000000684670  ALLSURF   1270.00   262.67     0.00  1007.33   5445.67  1179.35     1     1.00   454.00   604.00   908.00     0.00        TITAN 1/2 W/SPILLGUARD 30 SY                                      30 SY                         
0000001235860  DREAM      555.66     0.00     0.00   555.66   1294.32   627.99     1     1.00   108.00   144.00   216.00     0.00        BEACH CLUB I                                                      CANYON 1.000                  
0000000684680  ALLSURF    286.00   164.67   420.00   541.33    821.58   796.58     1     1.00    69.00    91.00   137.00     0.00        VALENCIA 105 OZ 21 LB 12 SY                                       12 SY                         
0000000684590  ALLSURF    600.00     0.00     0.00   600.00    929.00   265.00     1    50.00    78.00   103.00   155.00     0.00        TRAXX MATRIXX UNDERLAYMENT BIRCH 1/4 IN X 4 X 5                   UNDERLAYMENT                  
